2, 1
3, 1
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 0
12, 1
13, 1
14, 1
15, 1
16, 0
17, 0
18, 0
19, 0
20, 1
21, 1
22, 1
23, 1
24, 1
25, 1
26, 1
27, 0
28, 0
29, 1
30, 1
31, 0
32, 1
33, 1
34, 1
35, 1
36, 0
37, 0
38, 1
39, 1
40, 0
41, 0
42, 0
43, 0
44, 0
45, 0
46, 0
47, 0
48, 0
49, 0
50, 0
51, 1
52, 1
53, 1
54, 1
55, 1
56, 1
57, 0
58, 0
59, 0
60, 0
61, 1
62, 0
63, 1
64, 1
65, 1
66, 0
67, 0
68, 0
69, 0
70, 1
71, 1
72, 1
73, 1
74, 1
75, 1
76, 0
77, 0
78, 0
79, 1
80, 1
81, 1
82, 1
83, 1
84, 1
85, 1
86, 1
87, 0
88, 0
89, 0
90, 0
91, 0
92, 0
93, 1
94, 0
95, 0
96, 1
97, 0
98, 0
99, 0
100, 1
101, 1
102, 0
103, 0
104, 1
105, 1
106, 1
107, 1
108, 0
109, 1
110, 0
111, 0
112, 0
113, 0
114, 0
115, 0
116, 0
117, 0
118, 0
119, 0
120, 0
121, 0
122, 0
123, 0
124, 0
125, 0
126, 0
127, 0
128, 0
129, 0
130, 1
131, 1
132, 0
133, 0
134, 0
135, 0
136, 0
137, 0
138, 0
139, 0
140, 0
141, 0
142, 0
143, 0
144, 0
145, 0
146, 0
147, 0
148, 0
149, 0
150, 0
151, 0
152, 0
153, 1
154, 0
155, 0
156, 0
157, 0
158, 0
159, 0
160, 0
161, 0
162, 0
163, 0
164, 0
165, 0
166, 0
167, 0
168, 0
169, 0
170, 0
171, 0
172, 1
173, 0
174, 0
175, 0
176, 1
177, 0
178, 0
179, 0
180, 0
181, 0
182, 0
183, 0
184, 0
185, 0
186, 1
187, 0
188, 0
189, 0
190, 0
191, 0
192, 0
193, 1
194, 0
195, 0
196, 1
197, 1
198, 0
199, 0
200, 0
201, 0
202, 0
203, 0
204, 0
205, 1
206, 1
207, 0
208, 0
209, 0
210, 0
211, 1
212, 0
213, 0
214, 0
215, 0
216, 1
217, 1
218, 0
219, 0
220, 0
221, 0
222, 0
223, 0
224, 0
225, 0
226, 0
227, 0
228, 1
229, 1
230, 1
231, 0
232, 0
233, 1
234, 1
235, 1
236, 0
237, 0
238, 0
239, 0
240, 0
241, 0
242, 0
243, 0
244, 0
245, 0
246, 1
247, 0
248, 1
249, 0
250, 0
251, 0
252, 0
253, 0
254, 0
255, 0
256, 1
257, 0
258, 1
